Protein ,Vegetable,Grain
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Chicken,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Japanese Barley Rice
Tofu/Plant-based,"Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Brown Rice
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",No strong preference
Chicken,"Cruciferous Vegetables: Broccoli, Cabbage, etc.",No strong preference
"Fish (e.g., Salmon, Cod)","Leafy Greens: Lettuce, Spinach, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Brown Rice
Chicken,"Root Vegetables: Carrots, Potatoes, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",White Rice
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Quinoa
"Fish (e.g., Salmon, Cod)","Cruciferous Vegetables: Broccoli, Cabbage, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Brown Rice
Pork,"Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.",White Rice
Beef,"Root Vegetables: Carrots, Potatoes, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Pork,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.","Mixed Grains (e.g., Quinoa & Brown Rice)"
"Fish (e.g., Salmon, Cod)","Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",Brown Rice
Pork,"Root Vegetables: Carrots, Potatoes, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Japanese Barley Rice
Tofu/Plant-based,"Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.",Quinoa
Beef,"Root Vegetables: Carrots, Potatoes, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Pork,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",Quinoa
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",Brown Rice
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Beef,"Pods and Seeds: Peas, Beans, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",White Rice
"Fish (e.g., Salmon, Cod)","Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",Brown Rice
Pork,"Leafy Greens: Lettuce, Spinach, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",White Rice
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Pork,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",Quinoa
Chicken,"Pods and Seeds: Peas, Beans, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Japanese Barley Rice
"Fish (e.g., Salmon, Cod)","Leafy Greens: Lettuce, Spinach, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Beef,"Root Vegetables: Carrots, Potatoes, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.",Brown Rice
"Fish (e.g., Salmon, Cod)","Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",Brown Rice
Beef,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Beef,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
,"Leafy Greens: Lettuce, Spinach, etc.",White Rice
Pork,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Chicken,"Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",White Rice
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Pods and Seeds: Peas, Beans, etc.",White Rice
Chicken,"Root Vegetables: Carrots, Potatoes, etc.","Mixed Grains (e.g., Quinoa & Brown Rice)"
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Pork,"Cruciferous Vegetables: Broccoli, Cabbage, etc.","Mixed Grains (e.g., Quinoa & Brown Rice)"
Tofu/Plant-based,"Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.","Mixed Grains (e.g., Quinoa & Brown Rice)"
"Fish (e.g., Salmon, Cod)","Leafy Greens: Lettuce, Spinach, etc.",Quinoa
Natural protein,"ä½ æ˜¯?‘ç???,No strong preference""",
Beef,"Leafy Greens: Lettuce, Spinach, etc.",No strong preference
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Japanese Barley Rice
Beef,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",White Rice
Beef,"Root Vegetables: Carrots, Potatoes, etc.",White Rice
Beef,"Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.","Mixed Grains (e.g., Quinoa & Brown Rice)"
Pork,"Pods and Seeds: Peas, Beans, etc.;Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Japanese Barley Rice
Chicken,"Root Vegetables: Carrots, Potatoes, etc.",Quinoa
Pork,"Cruciferous Vegetables: Broccoli, Cabbage, etc.",Brown Rice
Chicken,"Fruit-Vegetable: Tomatoes, Cucumber, Pumpkins, etc.",Brown Rice
Beef,"Pods and Seeds: Peas, Beans, etc.",Japanese Barley Rice
Beef,"Pods and Seeds: Peas, Beans, etc.",White Rice
"Fish (e.g., Salmon, Cod)","Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.",Brown Rice
Chicken,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",Japanese Barley Rice
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.;Pods and Seeds: Peas, Beans, etc.",Japanese Barley Rice
Beef,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",Quinoa
Beef,"Pods and Seeds: Peas, Beans, etc.",White Rice
Chicken,"Leafy Greens: Lettuce, Spinach, etc.;Root Vegetables: Carrots, Potatoes, etc.",Japanese Barley Rice
Chicken,"Root Vegetables: Carrots, Potatoes, etc.",Japanese Barley Rice
Beef,"Cruciferous Vegetables: Broccoli, Cabbage, etc.;Root Vegetables: Carrots, Potatoes, etc.",Quinoa
Beef,"Leafy Greens: Lettuce, Spinach, etc.","Mixed Grains (e.g., Quinoa & Brown Rice)"
Chicken,"Leafy Greens: Lettuce, Spinach, etc.",White Rice
"Fish (e.g., Salmon, Cod)","Cruciferous Vegetables: Broccoli, Cabbage, etc.",Quinoa
Beef,"Leafy Greens: Lettuce, Spinach, etc.;Cruciferous Vegetables: Broccoli, Cabbage, etc.","Mixed Grains (e.g., Quinoa & Brown Rice)"
